name,cost,type,rules,flavor,metatype,name 2,cost2,type2,rules2
Read up on Medication,1W,Instant,"Spellmorph 5
As an additional cost to cast this spell you may tap an untapped Library you control
target player gains 2 life, if you paid the additional cost, instead gain 6 life",,,,,,
And that's a fact,2,Tribal Enchantment - Soldier,"Spellmorph 2
All Birds are white","--The rake destroys more impressively than even the best milk could
– Sunviashyll, Cleric of the Royal Moor, Lead Merchant of the Diamond Desert",,,,,
Overgrown Library,,Land,"
Discard a card, T: add 1G to your mana pool",,,,,,
Skilled Naturefiend,R,Creature - Goblin Samurai (1/2),"
bushido 3
2R, T: two target Elementals get +1/-1 until end of turn",,,,,,
Metallcraft Glorfin,4G,Creature - Beast (3/1),"
Artifact creatures you control get +2/+2","--His scene walls off just one nest but collapses the mightiest boot
– Pirki Croscrendoo the Keen",,,,,
Und plötzlich wars edel,1,Instant,"Target permanent is a Treasure in addition to its other types (A Treasure is an artifact with 'T, Sacrifice this: Add one mana of any colour to your mana pool')",,,,,,
Dethe Coco,WUBRG,Planeswalker - Dethe (Loyalty 5),"
+2: add 1 to your mana pool. Spend this mana only on spells.
-1: an opponent gets 1 poison counter",,,,,,
Nonbasic Plains,,Land,"
T: add W to your mana pool
",,double,Befimmle,UB,Instant,all blue creatures get -2/-0 until end of turn
Lead through the Lands,G,Instant,"
each player may search his or her library for up to two land cards and put them into hand. Each player who searched his or her library this way shuffles it.","--Every mightiest actor may pause
– Ichess Rinuit Firefist",,,,,
Winged Pastor,3W,Creature - Bird Cleric (2/2),"
Flying
When ~this~ is exiled, tap up to three target permanents.
Tap an untapped Library you control: Put a +1/+1 counter on ~this~",,,,,,
Stun,3B,Instant,"
two target creatures with power 3 or less get -4/-5 until end of turn and regenerate those creatures and each player may return any number of creature cards from his or her graveyard to hand",,,,,,
Aid the Weak,WW,Instant,"
Flashback WWWW
regenerate target creature with power X or less, where X is the number of libraries on the battlefield
",,double,Jousting Magescholar,UB,Creature - Human Wizard (2/2),"1UB: clash with an opponent. If you win, draw a card"
Greasy Wannabe Thief,U,Creature - Human Rogue (1/1),"
When ~this~ is put into a graveyard from the battlefield, you may tap or untap target permanent or library","--CMON GET ME, YOU'LL GET GREASY TOO.",,,,,
Auramancing Falcon,2WW,Creature - Bird (3/3),"Flying
4WW: Return target Aura card from your graveyard to the battlefield
When the number of poison counters an opponent has is 3 or less, flip ~this~.
",,kami,"Klempt, the Pacifist",,Legendary Creature - Bird (4/7),"Flying 
All Birds can't attack"
Remove Magic,4W,Instant,"Spellmorph 2W
destroy target enchantment. You may tap an untapped Library you control, if you do instead destroy two target enchantments.",,,,,,
Mechpart Supplier,U,Creature - Bird (1/3),"
Flying
U, T: target artifact creature gets +3/+0 until end of turn","-- When angered, His plastic dares louder than the hugest tool
– Unattributed",,,,,
"Mastov, the Undying",4B,Legendary Creature - Vampire (3/2),"
Whenever ~this~ is dealt damage, Regenerate ~this~","-- When sleepy, Humanity transcends even the most stalwart able
– Kenan (uncomfirmed)",,,,,
Postmortem Teacher,W,Creature - Giant Cleric (2/1),"
When ~this~ leaves the battlefield, target player may pay 4. If that player does, attach target Equipment to target tapped creature. (Control of that Equipment doesn't change.)
soulshift 4 (if this is put into graveyard from play, return a spirit card with mana value 4 or less from your graveyard to your hand)","-- When angered, Humanity licks bigger than even the best basketball
– Taysir, the false dragon",,,,,
Call for Insight,2,Sorcery - Generated,"
Flashback X, where X is the number of creatures on the battlefield
draw a card",,,,,,
Crypt of Sacrifice,,Legendary Land,"When this enters the battlefield, sacrifice a creature.
T: Add one mana of a colour of the sacrificed creature to your mana pool.
At the beginning of your precombat main phase, target opponent may pay 3. If that player doesn't, all creatures get -X/-0 until your next turn, where X is the sacrificed creature's power.",,,,,,
Heros Never Die,UB,Enchantment,"Spellmorph 2UUBB
Sacrifice ~this~: regenerate any number of target creatures","--The hugest bread may burn
But her tree cheats louder than the most aspirational parent ever will
– Taysir of Rabiah",,,,,
Find the Loophole,1W,Instant,"Each player may search his or her library for up to two basic land cards and put them into hand. The players who searched his or her library this way shuffles it. 

Addendum- If you cast this spell during your main phase replace 'Each' with 'Target'","--His education writes more than the fiercest carpenter ever could
– Res Cathusech, Lord of the Desert",,,,,
Field of Passion,G,Enchantment,"Spellmorph RG
1GGG: Untap target library. Clash with an opponent. If you win, all red creatures get +2/+2 until end of turn",,,,,,
Shamanic Insight,G,Instant,"Spellmorph GG
Kicker 2
If you paid the first kicker cost, target enchantment can't be the target of spells until end of turn
target Shaman gets +1/+1 until end of turn","--Even the most beautiful bed can sing
Albeit even the aspirational haircut bruises greater than the lamp ever could
– Eitheeth the Feared, Head Member of the Alliance of the Enchanted Wasteland",,,,,
Read the Roots,G,Instant,"
draw a card","--Her forest surprises the fastest pie
Whilst his father gazes bigger than even the haircut
– Ini, Open Soldier",,,,,
Kidnap,2UUU,Sorcery,"
Choose one: untap target creature and gain control of it until end of turn. ; or return up to X target Rogues to their owner's hand, where X is the number of basic land types among lands you control","--Nature lives more effectively than the whispered father would
– Nursery Rhyme (Trad.)",,,,,
Many Handed Angel,1W,Creature - Angel (1/2),"
Flying
Pay 2 life, Discard a card: target untapped nonwhite creature can block any number of creatures until end of turn",,,,,,
Unashamed Plagiarist,UU,Creature - Human Wizard (1/1),"At the beginning of each opponents upkeep, you may Sacrifice a permanent. If you do, gain control of target permanent until end of turn","--Every hose may wall off the proper turkey made of stone
For his health enlightens even the most skilled picture
– Kenan Sahrmal, the white",,,,,
Leyline Channeler,2G,Creature - Snake Shaman (3/2),"
Whenever a creature regenerates, target player may put up to X white permanent cards from hand onto the battlefield, where X is the number of green spells cast this turn",,,,,,
Ironeaters Feast,4GG,Sorcery,"Spellmorph 2G
destroy target artifact",,,,,,
Storm's Eye Mutiny,1BB,Instant,"
You and target opponent each untap and gain control of target red creature the other controls until end of turn.
Storm(You choose all targets as the copies go on the stack, you don't get to swap the same creature ten times although that would be funny)",,,,,,
And it's gone,(U/B)(U/B)(U/B)(U/B),Instant,"Spellmorph 2
return target library you control to its owner's hand",--This counts as tapping your library towards the Meme Trophy,,,,,
Voice Strength,1RR,Creature - Zombie Goblin Rogue (2/2),"
T: ~this~ deals 1 damage to each of two target players for each card in an opponent's graveyard
When ~this~ leaves the battlefield, you may pay X, where X is the amount of mana in an opponent's mana pool. If you do, attach target Equipment to target nonmulticoloured creature. Gain control of that Equipment until end of turn","-- When angered, His pickle deceives bigger than the best haircut
But world influences faster than even the most awesome mother
– TheButt69 (sic)",,,,,
Glorfin Enragement,4RRRRRR,Instant - Arcane,"Spellmorph 3R
up to two target Beasts get +4/+0 until end of turn",,,,,,
Gain Persistence,1R,Instant,"
target tapped blue creature gains persist until end of turn",,,,,,
Vigorous Elk,5UB,Creature - Human Wizard (3/2),"
~this~ enters the battlefield with four +1/+1 counters on it
2UB, Remove a +1/+1 counter from ~this~ for one plus each card in your hand: you may search your library for a creature card, reveal it, and put into your hand. If you do, you shuffle that library afterwards.
Threshold - If you have seven or more cards in your graveyard, All Clerics gain protection from white
When ~this~ leaves the battlefield, clash with an opponent. If you win, you reveal the top three cards of your library. you put all creature cards from among them into play, and shuffle the rest into your library.",,,,,,
Rotwood Summons,1WWW,Enchantment,"
When ~this~ leaves the battlefield, target player may return a green creature card from his or her graveyard to the battlefield
At the beginning of each player's upkeep, target black creature gets +1/+1 until end of turn
1WW, Sacrifice ~this~: you put two 2/2 white Soldier creature tokens onto the battlefield","--Even the best cracker made of steel can defeat
Though her sidewalk enlightens the best pleasure
– Unknown (ascended)",,,,,
Unshaken War Priest,2G,Creature - Beast (1/3),"
At the beginning of each player's upkeep, flip ~this~.
T, Sacrifice ~this~: target creature gets +5/+3 until end of turn
All creatures with power 1 or more are enchantments in addition to their other types
",,kami,Dead Diviner,,Legendary Creature - Beast (5/5),"spells cost your opponents up to 1 less to cast 
At the beginning of each player's upkeep, target opponent may Tap two untapped permanent he or she controls. If that player doesn't, all creatures with power X or more, where X is the number of cards in your hand get +2/+2 until end of turn 
At the beginning of each player's upkeep, flip ~this~."
Undying Will,2WW,Creature - Spirit (2/1),"
As long as ~this~ is untapped, Threshold - If you have seven or more cards in your graveyard, ~this~ can block any number of creatures
If ~this~ would be put into a graveyard from the battlefield, return it to its owner's hand instead
","--His show hunts more swiftly than the carpenter never
– Kotaku, the dark",,,,,
Collosal Ramp,3GG,Instant,"
Flashback X, where X is the number of basic lands you control
each player may search his or her library for up to three land cards and put them into hand. Each player who searched his or her library this way shuffles it.","--Humanity embiggens the most beautiful arm
– Ludoc (not the Urza's Saga one)",,,,,
Myr Blackmailer,GW,Artifact Creature - Myr (2/2),"
Discard a card: two target blue creatures get -2/+3 until end of turn
spells and activated abilities that aren't mana abilities cost you an additional ''Pay 2 life'' to cast
When ~this~ enters the battlefield, target opponent may Sacrifice a red creature. If that player doesn't, ~this~ deals 1 damage to each of two target creatures or players. When a creature damaged this way is put into a graveyard from the battlefield this turn, return it to the battlefield under your control",,,,,,
